ID,Query,Object Type,View Type,Length
94,filter customer where total_balance is greater than 1000000,customer,chart,59
95,show customer created this quarter,customer,table,34
96,show top 10 customer where status is pending,customer,table,44
97,show customer sorted by total_balance asc,customer,chart,41
98,filter customer where relationship_manager is less than 50000,customer,table,61
99,show customer created this year,customer,table,31
100,show top 10 customer where status is approved,customer,table,45
101,show customer sorted by relationship_manager desc,customer,table,49
102,filter customer where name is equal to 100000,customer,table,45
103,show customer created today,customer,table,27
104,show top 10 customer where status is rejected,customer,table,45
105,show customer sorted by name asc,customer,table,32
106,filter customer where age is not equal to 200000,customer,table,48
107,show customer created yesterday,customer,table,31
108,show top 10 customer where status is open,customer,table,41
109,show customer sorted by age desc,customer,table,32
110,filter customer where city is greater than 500000,customer,table,49
111,show customer created last week,customer,table,31
112,show top 10 customer where status is closed,customer,table,43
113,show customer sorted by city asc,customer,table,32
114,filter customer where type is less than 1000000,customer,table,47
115,show customer created last month,customer,table,32
116,show top 10 customer where status is in-progress,customer,table,48
117,show customer sorted by type desc,customer,table,33
118,filter customer where total_balance is equal to 50000,customer,chart,53
119,show customer created last 3 months,customer,table,35
120,show top 10 customer where status is pending,customer,table,44
121,show customer sorted by total_balance asc,customer,chart,41
122,filter customer where relationship_manager is not equal to 100000,customer,table,65
123,show customer created this quarter,customer,table,34
124,show top 10 customer where status is approved,customer,table,45
125,show customer sorted by relationship_manager desc,customer,table,49
126,filter customer where name is greater than 200000,customer,table,49
127,show customer created this year,customer,table,31
128,show top 10 customer where status is rejected,customer,table,45
129,show customer sorted by name asc,customer,table,32
130,filter customer where age is less than 500000,customer,table,45
131,show customer created today,customer,table,27
132,show top 10 customer where status is open,customer,table,41
133,show customer sorted by age desc,customer,table,32
134,filter customer where city is equal to 1000000,customer,table,46
135,show customer created yesterday,customer,table,31
136,show top 10 customer where status is closed,customer,table,43
137,show customer sorted by city asc,customer,table,32
138,filter customer where type is not equal to 50000,customer,table,48
139,show customer created last week,customer,table,31
140,show top 10 customer where status is in-progress,customer,table,48
141,show customer sorted by type desc,customer,table,33
142,filter customer where total_balance is greater than 100000,customer,chart,58
143,show customer created last month,customer,table,32
144,show top 10 customer where status is pending,customer,table,44
145,show customer sorted by total_balance asc,customer,chart,41
146,filter customer where relationship_manager is less than 200000,customer,table,62
147,show customer created last 3 months,customer,table,35
148,show top 10 customer where status is approved,customer,table,45
149,show customer sorted by relationship_manager desc,customer,table,49
150,filter customer where name is equal to 500000,customer,table,45
151,show customer created this quarter,customer,table,34
152,show top 10 customer where status is rejected,customer,table,45
153,show customer sorted by name asc,customer,table,32
154,filter customer where age is not equal to 1000000,customer,table,49
155,show customer created this year,customer,table,31
156,show top 10 customer where status is open,customer,table,41
157,show customer sorted by age desc,customer,table,32
158,filter customer where city is greater than 50000,customer,table,48
159,show customer created today,customer,table,27
160,show top 10 customer where status is closed,customer,table,43
161,show customer sorted by city asc,customer,table,32
162,filter customer where type is less than 100000,customer,table,46
163,show customer created yesterday,customer,table,31
164,show top 10 customer where status is in-progress,customer,table,48
165,show customer sorted by type desc,customer,table,33
166,filter customer where total_balance is equal to 200000,customer,chart,54
167,show customer with related account,account,chart,34
168,show customer where customer age is 100000,customer,table,42
169,list customer and related loan filtered by in-progress,customer,table,54
170,show customer with related customer,customer,table,35
171,show customer where loan city is 200000,customer,table,39
172,list customer and related task filtered by pending,customer,table,50
173,show customer with related loan,customer,table,31
174,show customer where task type is 500000,customer,table,39
175,list customer and related branch filtered by approved,customer,table,53
176,show customer with related task,customer,table,31
177,show customer where branch total_balance is 1000000,customer,chart,51
178,list customer and related lead filtered by rejected,lead,table,51
179,show customer with related branch,customer,table,33
180,show customer where lead relationship_manager is 50000,lead,table,54
181,list customer and related account filtered by open,account,chart,50
182,show customer with related lead,lead,table,31
183,show customer where account name is 100000,account,chart,42
184,list customer and related customer filtered by closed,customer,table,53
185,show customer with related account,account,chart,34
186,show customer where customer age is 200000,customer,table,42
187,list customer and related loan filtered by in-progress,customer,table,54
188,show customer with related customer,customer,table,35
189,show customer where loan city is 500000,customer,table,39
190,list customer and related task filtered by pending,customer,table,50
191,show customer with related loan,customer,table,31
192,show customer where task type is 1000000,customer,table,40
193,list customer and related branch filtered by approved,customer,table,53
194,show customer with related task,customer,table,31
195,show customer where branch total_balance is 50000,customer,chart,49
196,list customer and related lead filtered by rejected,lead,table,51
197,show customer with related branch,customer,table,33
198,show customer where lead relationship_manager is 100000,lead,table,55
199,list customer and related account filtered by open,account,chart,50
200,show customer with related lead,lead,table,31
201,show customer where account name is 200000,account,chart,42
202,list customer and related customer filtered by closed,customer,table,53
203,show customer with related account,account,chart,34
204,show customer where customer age is 500000,customer,table,42
205,list customer and related loan filtered by in-progress,customer,table,54
206,show customer with related customer,customer,table,35
207,show customer where loan city is 1000000,customer,table,40
208,list customer and related task filtered by pending,customer,table,50
209,show customer with related loan,customer,table,31
210,show customer where task type is 50000,customer,table,38
211,list customer and related branch filtered by approved,customer,table,53
212,show customer with related task,customer,table,31
213,show customer where branch total_balance is 100000,customer,chart,50
214,list customer and related lead filtered by rejected,lead,table,51
215,show customer with related branch,customer,table,33
216,show customer where lead relationship_manager is 200000,lead,table,55
217,list customer and related account filtered by open,account,chart,50
218,show customer with related lead,lead,table,31
219,show customer where account name is 500000,account,chart,42
220,list customer and related customer filtered by closed,customer,table,53
221,show customer with related account,account,chart,34
222,show customer where customer age is 1000000,customer,table,43
223,list customer and related loan filtered by in-progress,customer,table,54
224,show customer with related customer,customer,table,35
225,show customer where loan city is 50000,customer,table,38
226,list customer and related task filtered by pending,customer,table,50
227,show customer with related loan,customer,table,31
228,show customer where task type is 100000,customer,table,39
229,list customer and related branch filtered by approved,customer,table,53
230,show customer with related task,customer,table,31
231,show customer where branch total_balance is 200000,customer,chart,50
232,list customer and related lead filtered by rejected,lead,table,51
233,show customer with related branch,customer,table,33
234,show customer where lead relationship_manager is 500000,lead,table,55
235,list customer and related account filtered by open,account,chart,50
236,show customer with related lead,lead,table,31
237,show customer where account name is 1000000,account,chart,43
238,list customer and related customer filtered by closed,customer,table,53
239,show customer with related account,account,chart,34
240,show customer where customer age is 50000,customer,table,41
241,list customer and related loan filtered by in-progress,customer,table,54
242,show customer with related customer,customer,table,35
243,show customer where loan city is 100000,customer,table,39
244,list customer and related task filtered by pending,customer,table,50
245,show customer with related loan,customer,table,31
246,show customer where task type is 200000,customer,table,39
247,list customer and related branch filtered by approved,customer,table,53
248,show customer with related task,customer,table,31
249,show customer where branch total_balance is 500000,customer,chart,50
250,show sum of amount in customer,customer,chart,30
251,show count of balance for customer yesterday,customer,chart,44
252,calculate total loan_amount across all customer,customer,chart,47
253,show customer grouped by customer_type with min of emi_amount,customer,chart,61
254,show count of balance in customer,customer,chart,33
255,show average of loan_amount for customer last week,customer,chart,50
256,calculate total emi_amount across all customer,customer,chart,46
257,show customer grouped by status with max of premium_amount,customer,chart,58
258,show average of loan_amount in customer,customer,chart,39
259,show min of emi_amount for customer last month,customer,table,46
260,calculate total premium_amount across all customer,customer,chart,50
261,show customer grouped by branch with sum of amount,customer,chart,50
262,show min of emi_amount in customer,customer,table,34
263,show max of premium_amount for customer last 3 months,customer,table,53
264,calculate total amount across all customer,customer,chart,42
265,show customer grouped by manager with count of balance,customer,chart,54
266,show max of premium_amount in customer,customer,table,38
267,show sum of amount for customer this quarter,customer,chart,44
268,calculate total balance across all customer,customer,chart,43
269,show customer grouped by product with average of loan_amount,customer,chart,60
270,show sum of amount in customer,customer,chart,30
271,show count of balance for customer this year,customer,chart,44
272,calculate total loan_amount across all customer,customer,chart,47
273,show customer grouped by customer_type with min of emi_amount,customer,chart,61
274,show count of balance in customer,customer,chart,33
275,show average of loan_amount for customer today,customer,chart,46
276,calculate total emi_amount across all customer,customer,chart,46
277,show customer grouped by status with max of premium_amount,customer,chart,58
278,show average of loan_amount in customer,customer,chart,39
279,show min of emi_amount for customer yesterday,customer,table,45
280,calculate total premium_amount across all customer,customer,chart,50
281,show customer grouped by branch with sum of amount,customer,chart,50
282,show min of emi_amount in customer,customer,table,34
283,show max of premium_amount for customer last week,customer,table,49
284,calculate total amount across all customer,customer,chart,42
285,show customer grouped by manager with count of balance,customer,chart,54
286,show max of premium_amount in customer,customer,table,38
287,show sum of amount for customer last month,customer,chart,42
288,calculate total balance across all customer,customer,chart,43
289,show customer grouped by product with average of loan_amount,customer,chart,60
290,show sum of amount in customer,customer,chart,30
291,show count of balance for customer last 3 months,customer,chart,48
292,calculate total loan_amount across all customer,customer,chart,47
293,show customer grouped by customer_type with min of emi_amount,customer,chart,61
294,show count of balance in customer,customer,chart,33
295,show average of loan_amount for customer this quarter,customer,chart,53
296,calculate total emi_amount across all customer,customer,chart,46
297,show customer grouped by status with max of premium_amount,customer,chart,58
298,show average of loan_amount in customer,customer,chart,39
299,show min of emi_amount for customer this year,customer,table,45
300,calculate total premium_amount across all customer,customer,chart,50
301,show customer grouped by branch with sum of amount,customer,chart,50
302,show min of emi_amount in customer,customer,table,34
303,show max of premium_amount for customer today,customer,table,45
304,calculate total amount across all customer,customer,chart,42
305,show customer grouped by manager with count of balance,customer,chart,54
306,show max of premium_amount in customer,customer,table,38
307,show sum of amount for customer yesterday,customer,chart,41
308,calculate total balance across all customer,customer,chart,43
309,show customer grouped by product with average of loan_amount,customer,chart,60
310,show sum of amount in customer,customer,chart,30
311,show count of balance for customer last week,customer,chart,44
312,calculate total loan_amount across all customer,customer,chart,47
313,show customer grouped by customer_type with min of emi_amount,customer,chart,61
314,show count of balance in customer,customer,chart,33
315,show average of loan_amount for customer last month,customer,chart,51
316,calculate total emi_amount across all customer,customer,chart,46
317,show customer grouped by status with max of premium_amount,customer,chart,58
318,show average of loan_amount in customer,customer,chart,39
319,show min of emi_amount for customer last 3 months,customer,table,49
320,calculate total premium_amount across all customer,customer,chart,50
321,show customer grouped by branch with sum of amount,customer,chart,50
322,show min of emi_amount in customer,customer,table,34
323,show max of premium_amount for customer this quarter,customer,table,52
324,calculate total amount across all customer,customer,chart,42
325,show customer grouped by manager with count of balance,customer,chart,54
326,show max of premium_amount in customer,customer,table,38
327,show sum of amount for customer this year,customer,chart,41
328,calculate total balance across all customer,customer,chart,43
329,show customer grouped by product with average of loan_amount,customer,chart,60
330,show sum of amount in customer,customer,chart,30
331,show count of balance for customer today,customer,chart,40
332,calculate total loan_amount across all customer,customer,chart,47
333,show sum of loan amount for customers grouped by branch,customer,chart,55
334,total loan amount for customers who have accounts greater than 100000,account,chart,69
335,sum of account balance for customers having loans,account,chart,49
336,show branch wise min of emi amount,branch,summary,34
337,show count of loan amount for customers grouped by branch,customer,chart,57
338,total loan amount for customers who have accounts greater than 200000,account,chart,69
339,sum of account balance for customers having loans,account,chart,49
340,show branch wise max of emi amount,branch,summary,34
341,show average of loan amount for customers grouped by branch,customer,chart,59
342,total loan amount for customers who have accounts greater than 500000,account,chart,69
343,sum of account balance for customers having loans,account,chart,49
344,show branch wise sum of emi amount,branch,chart,34
345,show min of loan amount for customers grouped by branch,customer,chart,55
346,total loan amount for customers who have accounts greater than 1000000,account,chart,70
347,sum of account balance for customers having loans,account,chart,49
348,show branch wise count of emi amount,branch,chart,36
349,show max of loan amount for customers grouped by branch,customer,chart,55
350,total loan amount for customers who have accounts greater than 50000,account,chart,68
351,sum of account balance for customers having loans,account,chart,49
352,show branch wise average of emi amount,branch,chart,38
353,show sum of loan amount for customers grouped by branch,customer,chart,55
354,total loan amount for customers who have accounts greater than 100000,account,chart,69
355,sum of account balance for customers having loans,account,chart,49
356,show branch wise min of emi amount,branch,summary,34
357,show count of loan amount for customers grouped by branch,customer,chart,57
358,total loan amount for customers who have accounts greater than 200000,account,chart,69
359,sum of account balance for customers having loans,account,chart,49
360,show branch wise max of emi amount,branch,summary,34
361,show average of loan amount for customers grouped by branch,customer,chart,59
362,total loan amount for customers who have accounts greater than 500000,account,chart,69
363,sum of account balance for customers having loans,account,chart,49
364,show branch wise sum of emi amount,branch,chart,34
365,show min of loan amount for customers grouped by branch,customer,chart,55
366,total loan amount for customers who have accounts greater than 1000000,account,chart,70
367,sum of account balance for customers having loans,account,chart,49
368,show branch wise count of emi amount,branch,chart,36
369,show max of loan amount for customers grouped by branch,customer,chart,55
370,total loan amount for customers who have accounts greater than 50000,account,chart,68
371,sum of account balance for customers having loans,account,chart,49
372,show branch wise average of emi amount,branch,chart,38
373,show sum of loan amount for customers grouped by branch,customer,chart,55
374,total loan amount for customers who have accounts greater than 100000,account,chart,69
375,sum of account balance for customers having loans,account,chart,49
376,show branch wise min of emi amount,branch,summary,34
377,show count of loan amount for customers grouped by branch,customer,chart,57
378,total loan amount for customers who have accounts greater than 200000,account,chart,69
379,sum of account balance for customers having loans,account,chart,49
380,show branch wise max of emi amount,branch,summary,34
381,show average of loan amount for customers grouped by branch,customer,chart,59
382,total loan amount for customers who have accounts greater than 500000,account,chart,69
383,sum of account balance for customers having loans,account,chart,49
384,show branch wise sum of emi amount,branch,chart,34
385,show min of loan amount for customers grouped by branch,customer,chart,55
386,total loan amount for customers who have accounts greater than 1000000,account,chart,70
387,sum of account balance for customers having loans,account,chart,49
388,show branch wise count of emi amount,branch,chart,36
389,show max of loan amount for customers grouped by branch,customer,chart,55
390,total loan amount for customers who have accounts greater than 50000,account,chart,68
391,sum of account balance for customers having loans,account,chart,49
392,show branch wise average of emi amount,branch,chart,38
393,show sum of loan amount for customers grouped by branch,customer,chart,55
394,total loan amount for customers who have accounts greater than 100000,account,chart,69
395,sum of account balance for customers having loans,account,chart,49
396,show branch wise min of emi amount,branch,summary,34
397,show count of loan amount for customers grouped by branch,customer,chart,57
398,total loan amount for customers who have accounts greater than 200000,account,chart,69
399,sum of account balance for customers having loans,account,chart,49
400,show branch wise max of emi amount,branch,summary,34
401,show average of loan amount for customers grouped by branch,customer,chart,59
402,total loan amount for customers who have accounts greater than 500000,account,chart,69
403,sum of account balance for customers having loans,account,chart,49
404,show branch wise sum of emi amount,branch,chart,34
405,show min of loan amount for customers grouped by branch,customer,chart,55
406,total loan amount for customers who have accounts greater than 1000000,account,chart,70
407,sum of account balance for customers having loans,account,chart,49
408,show branch wise count of emi amount,branch,chart,36
409,show max of loan amount for customers grouped by branch,customer,chart,55
410,total loan amount for customers who have accounts greater than 50000,account,chart,68
411,sum of account balance for customers having loans,account,chart,49
412,show branch wise average of emi amount,branch,chart,38
413,show sum of loan amount for customers grouped by branch,customer,chart,55
414,total loan amount for customers who have accounts greater than 100000,account,chart,69
415,sum of account balance for customers having loans,account,chart,49
416,show customers with total account balance greater than 50000 and loan amount greater than 50000,account,chart,95
417,show branch wise count of leads where loan status is closed,lead,chart,59
418,show average of loan amount for customers having tasks pending,customer,chart,62
419,show customers who have loans and also leads in pending status,lead,table,62
420,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
421,show customers with total account balance less than 100000 and loan amount less than 100000,account,chart,91
422,show branch wise count of leads where loan status is in-progress,lead,chart,64
423,show min of loan amount for customers having tasks pending,customer,table,58
424,show customers who have loans and also leads in approved status,lead,table,63
425,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
426,show customers with total account balance equal to 200000 and loan amount equal to 200000,account,chart,89
427,show branch wise count of leads where loan status is pending,lead,chart,60
428,show max of loan amount for customers having tasks pending,customer,table,58
429,show customers who have loans and also leads in rejected status,lead,table,63
430,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
431,show customers with total account balance not equal to 500000 and loan amount not equal to 500000,account,chart,97
432,show branch wise count of leads where loan status is approved,lead,chart,61
433,show sum of loan amount for customers having tasks pending,customer,chart,58
434,show customers who have loans and also leads in open status,lead,table,59
435,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
436,show customers with total account balance greater than 1000000 and loan amount greater than 1000000,account,chart,99
437,show branch wise count of leads where loan status is rejected,lead,chart,61
438,show count of loan amount for customers having tasks pending,customer,chart,60
439,show customers who have loans and also leads in closed status,lead,table,61
440,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
441,show customers with total account balance less than 50000 and loan amount less than 50000,account,chart,89
442,show branch wise count of leads where loan status is open,lead,chart,57
443,show average of loan amount for customers having tasks pending,customer,chart,62
444,show customers who have loans and also leads in in-progress status,lead,table,66
445,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
446,show customers with total account balance equal to 100000 and loan amount equal to 100000,account,chart,89
447,show branch wise count of leads where loan status is closed,lead,chart,59
448,show min of loan amount for customers having tasks pending,customer,table,58
449,show customers who have loans and also leads in pending status,lead,table,62
450,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
451,show customers with total account balance not equal to 200000 and loan amount not equal to 200000,account,chart,97
452,show branch wise count of leads where loan status is in-progress,lead,chart,64
453,show max of loan amount for customers having tasks pending,customer,table,58
454,show customers who have loans and also leads in approved status,lead,table,63
455,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
456,show customers with total account balance greater than 500000 and loan amount greater than 500000,account,chart,97
457,show branch wise count of leads where loan status is pending,lead,chart,60
458,show sum of loan amount for customers having tasks pending,customer,chart,58
459,show customers who have loans and also leads in rejected status,lead,table,63
460,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
461,show customers with total account balance less than 1000000 and loan amount less than 1000000,account,chart,93
462,show branch wise count of leads where loan status is approved,lead,chart,61
463,show count of loan amount for customers having tasks pending,customer,chart,60
464,show customers who have loans and also leads in open status,lead,table,59
465,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
466,show customers with total account balance equal to 50000 and loan amount equal to 50000,account,chart,87
467,show branch wise count of leads where loan status is rejected,lead,chart,61
468,show average of loan amount for customers having tasks pending,customer,chart,62
469,show customers who have loans and also leads in closed status,lead,table,61
470,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
471,show customers with total account balance not equal to 100000 and loan amount not equal to 100000,account,chart,97
472,show branch wise count of leads where loan status is open,lead,chart,57
473,show min of loan amount for customers having tasks pending,customer,table,58
474,show customers who have loans and also leads in in-progress status,lead,table,66
475,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
476,show customers with total account balance greater than 200000 and loan amount greater than 200000,account,chart,97
477,show branch wise count of leads where loan status is closed,lead,chart,59
478,show max of loan amount for customers having tasks pending,customer,table,58
479,show customers who have loans and also leads in pending status,lead,table,62
480,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
481,show customers with total account balance less than 500000 and loan amount less than 500000,account,chart,91
482,show branch wise count of leads where loan status is in-progress,lead,chart,64
483,show sum of loan amount for customers having tasks pending,customer,chart,58
484,show customers who have loans and also leads in approved status,lead,table,63
485,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
486,show customers with total account balance equal to 1000000 and loan amount equal to 1000000,account,chart,91
487,show branch wise count of leads where loan status is pending,lead,chart,60
488,show count of loan amount for customers having tasks pending,customer,chart,60
489,show customers who have loans and also leads in rejected status,lead,table,63
490,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
491,show customers with total account balance not equal to 50000 and loan amount not equal to 50000,account,chart,95
492,show branch wise count of leads where loan status is approved,lead,chart,61
493,show average of loan amount for customers having tasks pending,customer,chart,62
494,show customers who have loans and also leads in open status,lead,table,59
495,show total portfolio (loans + accounts) for each relationship manager,account,chart,69
496,show customers with total account balance greater than 100000 and loan amount greater than 100000,account,chart,97
497,show branch wise count of leads where loan status is rejected,lead,chart,61
498,show min of loan amount for customers having tasks pending,customer,table,58
499,show all loan,loan,table,13
500,show all loan yesterday,loan,table,23
501,show my loan with status in-progress,loan,table,36
502,list loan where priority is high,loan,table,32
503,show all loan,loan,table,13
504,show all loan last week,loan,table,23
505,show my loan with status pending,loan,table,32
506,list loan where priority is medium,loan,table,34
507,show all loan,loan,table,13
508,show all loan last month,loan,table,24
509,show my loan with status approved,loan,table,33
510,list loan where priority is low,loan,table,31
511,show all loan,loan,table,13
512,show all loan last 3 months,loan,table,27
513,show my loan with status rejected,loan,table,33
514,list loan where priority is high,loan,table,32
515,show all loan,loan,table,13
516,show all loan this quarter,loan,table,26
517,show my loan with status open,loan,table,29
518,list loan where priority is medium,loan,table,34
519,show all loan,loan,table,13
520,show all loan this year,loan,table,23
521,show my loan with status closed,loan,table,31
522,list loan where priority is low,loan,table,31
523,show all loan,loan,table,13
524,show all loan today,loan,table,19
525,show my loan with status in-progress,loan,table,36
526,list loan where priority is high,loan,table,32
527,show all loan,loan,table,13
528,show all loan yesterday,loan,table,23
529,show my loan with status pending,loan,table,32
530,list loan where priority is medium,loan,table,34
531,show all loan,loan,table,13
532,show all loan last week,loan,table,23
533,show my loan with status approved,loan,table,33
534,list loan where priority is low,loan,table,31
535,show all loan,loan,table,13
536,show all loan last month,loan,table,24
537,show my loan with status rejected,loan,table,33
538,list loan where priority is high,loan,table,32
539,show all loan,loan,table,13
540,show all loan last 3 months,loan,table,27
541,show my loan with status open,loan,table,29
542,list loan where priority is medium,loan,table,34
543,show all loan,loan,table,13
544,show all loan this quarter,loan,table,26
545,show my loan with status closed,loan,table,31
546,list loan where priority is low,loan,table,31
547,show all loan,loan,table,13
548,show all loan this year,loan,table,23
549,show my loan with status in-progress,loan,table,36
550,list loan where priority is high,loan,table,32
551,show all loan,loan,table,13
552,show all loan today,loan,table,19
553,show my loan with status pending,loan,table,32
554,list loan where priority is medium,loan,table,34
555,show all loan,loan,table,13
556,show top 10 loan where status is open,loan,table,37
557,show loan sorted by loan_amount desc,loan,table,36
558,filter loan where status is equal to 200000,loan,table,43
559,show loan created last month,loan,table,28
560,show top 10 loan where status is closed,loan,table,39
561,show loan sorted by status asc,loan,table,30
562,filter loan where emi_amount is not equal to 500000,loan,table,51
563,show loan created last 3 months,loan,table,31
564,show top 10 loan where status is in-progress,loan,table,44
565,show loan sorted by emi_amount desc,loan,table,35
566,filter loan where customer_id is greater than 1000000,customer,table,53
567,show loan created this quarter,loan,table,30
568,show top 10 loan where status is pending,loan,table,40
569,show loan sorted by customer_id asc,customer,table,35
570,filter loan where branch is less than 50000,loan,table,43
571,show loan created this year,loan,table,27
572,show top 10 loan where status is approved,loan,table,41
573,show loan sorted by branch desc,loan,table,31
574,filter loan where loan_id is equal to 100000,loan,table,44
575,show loan created today,loan,table,23
576,show top 10 loan where status is rejected,loan,table,41
577,show loan sorted by loan_id asc,loan,table,31
578,filter loan where loan_amount is not equal to 200000,loan,table,52
579,show loan created yesterday,loan,table,27
580,show top 10 loan where status is open,loan,table,37
581,show loan sorted by loan_amount desc,loan,table,36
582,filter loan where status is greater than 500000,loan,table,47
583,show loan created last week,loan,table,27
584,show top 10 loan where status is closed,loan,table,39
585,show loan sorted by status asc,loan,table,30
586,filter loan where emi_amount is less than 1000000,loan,table,49
587,show loan created last month,loan,table,28
588,show top 10 loan where status is in-progress,loan,table,44
589,show loan sorted by emi_amount desc,loan,table,35
590,filter loan where customer_id is equal to 50000,customer,table,47
591,show loan created last 3 months,loan,table,31
592,show top 10 loan where status is pending,loan,table,40
593,show loan sorted by customer_id asc,customer,table,35
594,filter loan where branch is not equal to 100000,loan,table,47
595,show loan created this quarter,loan,table,30
596,show top 10 loan where status is approved,loan,table,41
597,show loan sorted by branch desc,loan,table,31
598,filter loan where loan_id is greater than 200000,loan,table,48
599,show loan created this year,loan,table,27
600,show top 10 loan where status is rejected,loan,table,41
601,show loan sorted by loan_id asc,loan,table,31
602,filter loan where loan_amount is less than 500000,loan,table,49
603,show loan created today,loan,table,23
604,show top 10 loan where status is open,loan,table,37
605,show loan sorted by loan_amount desc,loan,table,36
606,filter loan where status is equal to 1000000,loan,table,44
607,show loan created yesterday,loan,table,27
608,show top 10 loan where status is closed,loan,table,39
609,show loan sorted by status asc,loan,table,30
610,filter loan where emi_amount is not equal to 50000,loan,table,50
611,show loan created last week,loan,table,27
612,show top 10 loan where status is in-progress,loan,table,44
613,show loan with related account,account,chart,30
614,show loan where customer loan_amount is 100000,customer,table,46
615,list loan and related loan filtered by in-progress,loan,table,50
616,show loan with related customer,customer,table,31
617,show loan where loan status is 200000,loan,table,37
618,list loan and related task filtered by pending,loan,table,46
619,show loan with related loan,loan,table,27
620,show loan where task emi_amount is 500000,loan,table,41
621,list loan and related branch filtered by approved,loan,table,49
622,show loan with related task,loan,table,27
623,show loan where branch customer_id is 1000000,customer,table,45
624,list loan and related lead filtered by rejected,lead,table,47
625,show loan with related branch,loan,table,29
626,show loan where lead branch is 50000,lead,table,36
627,list loan and related account filtered by open,account,chart,46
628,show loan with related lead,lead,table,27
629,show loan where account loan_id is 100000,account,chart,41
630,list loan and related customer filtered by closed,customer,table,49
631,show loan with related account,account,chart,30
